UKPRN,HE Provider,Austria,Belgium,Bulgaria,Canary Islands,Croatia,Cyprus (European Union),Cyprus not otherwise specified,Czech Republic,Denmark,Estonia,Finland,France,French Guiana,Germany,Gibraltar,Greece,Guadeloupe,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Martinique,Netherlands,Poland,Portugal,Romania,Réunion,Slovakia,Slovenia,Åland Islands,Spain,Sweden,European Union not otherwise specified,Total European Union,Total
10031982,BPP University,0,5,0,0,0,15,0,0,5,0,5,20,0,20,5,0,0,0,25,30,0,0,0,0,0,5,15,5,5,0,0,0,0,5,20,0,195,"1,510"
10007785,The University of Bradford,0,5,40,0,5,50,0,5,0,35,0,10,0,20,0,140,0,0,35,20,10,20,0,0,0,15,15,10,75,0,0,0,0,15,0,0,540,"1,635"
10000886,The University of Brighton,20,30,30,0,0,150,0,15,5,20,25,105,0,115,0,165,0,15,95,100,10,20,15,10,0,25,25,25,25,0,10,5,0,75,35,0,"1,175","2,900"
10007786,The University of Bristol,10,45,20,0,0,125,0,10,10,5,5,165,0,85,0,125,0,15,50,100,5,10,10,15,0,45,30,25,55,0,10,5,0,105,15,5,"1,110","4,720"
10028216,Brit College,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,5,45,0,0,0,0,0,0,0,70,70
10000961,Brunel University London,10,15,50,5,5,45,0,5,10,5,10,45,0,55,5,110,0,5,60,95,5,10,5,20,0,20,40,20,60,0,5,5,0,60,30,0,815,"4,565"
10000975,Buckinghamshire New University,5,10,5,0,5,10,0,5,5,0,0,25,0,20,10,5,0,0,245,25,0,5,5,5,0,5,135,10,10,0,0,0,0,15,5,0,570,760
10007787,The University of Buckingham,0,5,0,0,0,15,0,0,5,0,0,15,0,20,0,5,0,0,0,15,0,0,0,0,0,0,0,5,0,0,0,0,0,10,5,0,115,915
10010308,Cambridge Arts and Sciences Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,55
10007788,The University of Cambridge,75,80,60,0,15,100,0,45,50,10,30,235,0,470,0,110,0,85,115,215,15,55,25,5,0,125,120,30,120,0,30,20,0,110,65,0,"2,420","6,525"
10032072,The Cambridge Theological Federation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
10003324,The Institute of Cancer Research,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20
10001143,Canterbury Christ Church University,0,10,30,0,25,125,0,0,0,0,0,25,0,20,15,15,0,0,95,20,0,5,5,0,0,5,5,5,30,0,70,0,0,15,10,0,545,810
10007814,Cardiff University,15,45,110,0,5,105,0,5,5,10,10,125,0,100,10,205,0,10,85,125,5,25,20,15,0,45,55,30,50,0,5,5,0,85,15,10,"1,345","7,115"
10007854,Cardiff Metropolitan University,0,5,30,0,0,5,0,5,0,0,0,50,0,55,45,20,0,0,65,20,5,5,0,5,0,5,15,10,5,0,0,0,0,20,0,0,375,"3,285"
10007141,The University of Central Lancashire,15,5,10,0,0,60,0,10,0,10,5,40,0,45,15,30,0,5,70,15,25,45,0,5,0,10,15,20,15,0,5,0,0,40,10,0,535,"2,415"
